employee_id,first_name,last_name,email,department,position,hire_date,salary,performance_score,training_hours,projects_completed,sick_days,vacation_days,manager_id,years_experience,education_level,remote_work_days,satisfaction_score
EMP00001,FirstName1,LastName1,firstname1.lastname1@company.com,Operations,Lead,2021-03-14 17:39:08.991546,115161.63620711463,8.645564160188709,57.11620493670672,9,5,8.097854920002991,EMP00823,11.1685315122792,Associates,0.708438116983775,7.489412557848143
EMP00002,FirstName2,LastName2,firstname2.lastname2@company.com,HR,Lead,2022-03-18 17:39:08.991557,95373.0334417942,8.98953538737566,20.989528598762007,10,7,18.20449984579288,EMP01200,3.883966583656688,Associates,1.953958508469232,6.174726525203172
EMP00003,FirstName3,LastName3,firstname3.lastname3@company.com,Sales,Lead,2015-10-16 17:39:08.991560,110044.12480675039,10.70170303198628,56.79561688444058,10,4,4.405917074358503,EMP00311,6.088018572811387,PhD,3.106929863400112,5.54111975146198
EMP00004,FirstName4,LastName4,,Operations,Manager,2021-04-04 17:39:08.991562,54704.27752259257,6.783549521412215,59.078038164397746,3,7,18.8881055544031,EMP00292,15.79334401708928,High School,2.297613127626066,9.533513913485857
EMP00005,FirstName5,LastName5,firstname5.lastname5@company.com,HR,Director,2020-08-05 17:39:08.991564,61921.03695772559,6.334637355647472,3.58154561757688,12,2,17.830955164774263,EMP00671,12.452353025986952,PhD,0.9945752015833234,9.704727878685876
EMP00006,FirstName6,LastName6,firstname6.lastname6@company.com,HR,Director,2021-10-11 17:39:08.991565,58525.86015290146,8.838156367797993,49.6317898274504,6,6,17.563329729915157,,6.017317754466586,Associates,1.9470119163076958,7.538666194041266
EMP00007,FirstName7,LastName7,duplicate@company.com,Sales,Manager,2020-08-13 17:39:08.991567,62224.34682878532,5.294646354327853,47.59989279987845,11,8,17.084581812045254,EMP00638,-0.43904241448238057,PhD,3.8120630700890956,5.939862634358191
EMP00008,FirstName8,LastName8,firstname8.lastname8@company.com,Marketing,Director,2019-11-13 17:39:08.991569,62701.821730689095,4.524213952656549,17.158348017785066,9,5,16.424392097076616,EMP01288,5.389995945827071,PhD,2.3933804876644467,7.2217467591028495
EMP00009,FirstName9,LastName9,firstname9.lastname9@company.com,Finance,Lead,2023-05-16 17:39:08.991570,71605.17894651834,8.778263565051718,35.16974003270518,14,10,18.7679954330427,EMP00476,11.063620089857034,PhD,0.7666893602467653,0.023427350057525942
EMP00010,FirstName10,LastName10,firstname10.lastname10@company.com,Sales,Lead,2016-11-02 17:39:08.991572,65366.64747229589,,33.47263872867692,8,5,16.886861455533452,EMP00612,8.651085347712572,Master,1.1191550784673194,10.00128069970071
EMP00011,FirstName11,LastName11,firstname11.lastname11@company.com,Finance,Lead,2023-01-01 17:39:08.991573,47809.47599136421,11.1170645517114,25.80392000168282,12,5,13.15533812457359,EMP01109,8.513715382758273,PhD,2.256816919022094,10.169021072855529
EMP00012,FirstName12,LastName12,firstname12.lastname12@company.com,Engineering,Director,2015-09-12 17:39:08.991574,94844.46879600002,8.46942278524743,30.445532315424806,9,10,11.794031305496308,EMP00931,22.167975398990627,PhD,1.1554469956311801,10.087125540468431
EMP00013,FirstName13,LastName13,firstname13.lastname13@company.com,Engineering,Senior,2016-03-03 17:39:08.991576,53107.92334018165,7.624052367521366,52.75729516139182,9,4,14.738068432000018,EMP01475,12.580878827092457,Associates,0.9206792481612516,5.303419359951158
EMP00014,FirstName14,LastName14,firstname14.lastname14@company.com,HR,Junior,2023-05-04 17:39:08.991577,114359.7679786581,7.111180127539561,41.26489213063501,6,3,22.071185726101824,EMP00558,14.144114025048808,Master,2.248967449456961,6.961771977690358
EMP00015,FirstName15,LastName15,firstname15.lastname15@company.com,Operations,Senior,2017-05-28 17:39:08.991579,95169.81147790927,5.563945052861628,31.09562419435938,6,4,18.919385172283388,EMP00084,10.355281799812682,High School,3.0729645588850865,9.549287437867916
EMP00016,FirstName16,LastName16,firstname16.lastname16@company.com,HR,Manager,2023-10-29 17:39:08.991580,45546.05006854317,6.702456539694111,22.77866240230134,3,5,17.45208294699888,EMP00524,14.368389651555816,Master,1.2007923985034836,4.129585407549198
EMP00017,FirstName17,LastName17,firstname17.lastname17@company.com,Marketing,Senior,2020-11-07 17:39:08.991582,74502.42957507132,6.7718369088232695,52.61106756291432,12,9,-0.4953491786691977,EMP00956,12.155647096351153,Master,0.9225284169614287,7.443713984792464
EMP00018,FirstName18,LastName18,,Finance,Senior,2018-04-11 00:00:00,39604.542093054326,6.901731216816206,65.40257241037098,3,4,6.897884502487025,EMP00345,18.2741776114337,Master,1.4879167925872525,6.070223710866808
EMP00019,FirstName19,LastName19,firstname19.lastname19@company.com,Engineering,Manager,2017-03-11 17:39:08.991585,106854.55840425046,8.421746550472182,36.71780908861167,3,7,16.636065742350482,EMP01417,1.1141180837777072,Associates,2.0106591232774105,2.7131958431493874
EMP00020,FirstName20,LastName20,firstname20.lastname20@company.com,Engineering,Senior,2024-06-16 17:39:08.991586,75126.31580892565,8.00175028114149,38.62679861473731,7,2,20.924796798216654,EMP00998,4.461683128348409,Bachelor,2.7184408742730324,8.069516256729475
EMP00021,FirstName21,LastName21,firstname21.lastname21@company.com,HR,Junior,2015-08-13 17:39:08.991587,-46440.475855350975,7.191416345077942,78.2982206197048,8,4,12.56710857502137,EMP00461,1.4566844019045373,Associates,2.7843699492903724,7.3995105685318086
EMP00022,FirstName22,LastName22,firstname22.lastname22@company.com,HR,Director,2023-01-16 17:39:08.991589,80524.75194874483,7.7073922876760905,52.58216948378727,8,9,15.280304186643276,EMP00182,5.936250101440136,Associates,1.4002030297601407,7.179660440156781
EMP00023,FirstName23,LastName23,firstname23.lastname23@company.com,Marketing,Manager,2021-07-22 17:39:08.991590,438162.43001772166,10.196460281042723,56.54183334608046,7,2,12.684173404492439,EMP01236,8.591626115692986,High School,2.1968188054136424,4.754231423271875
EMP00024,FirstName24,LastName24,firstname24.lastname24@company.com,HR,Senior,2015-12-10 17:39:08.991591,58527.45547155039,8.062176173186021,31.393489225396017,5,5,9.208403383953291,EMP00743,15.017303902551813,High School,0.2490766070161139,9.316249936675526
EMP00025,FirstName25,LastName25,,Operations,Lead,2022-02-10 17:39:08.991593,72594.52050465808,9.692347877522067,27.306656638233978,7,7,12.65231356085308,EMP01362,18.87859855580035,High School,1.6513427276211727,7.789612882496693
EMP00026,FirstName26,LastName26,firstname26.lastname26@company.com,HR,Lead,2021-12-08 17:39:08.991594,106357.40117483793,6.6620456793809195,59.30124985560131,9,4,15.662257323640882,EMP01437,8.592668038694924,Bachelor,1.0746341885477495,7.890731092352642
